qid,query,docno,text,biased_rank,debiased_rank,source,from,selected_in_turn,semantic_sim,label
806694,what is the average pay scale in massachusetts for a sonographer,msmarco_passage_35_352621632,"Ultrasound Technician Salary in Massachusetts. For diagnostic medical sonographers in Massachusetts, their median annual salary in 2013 was $80,500; much higher than the national median of $66,400. Ultrasound technicians who were in the top 10% of earners averaged an annual salary of $101,700 while those in the bottom 10% earned $54,600.",4,3.0,top from biased,biased,4,,
806694,what is the average pay scale in massachusetts for a sonographer,msmarco_passage_35_352620363,"As of 2013, there were a total of 1,330 diagnostic medical sonographers employed in the state with future employment numbers expected to reach 1,720 by 2020. Massachusetts is one of the top paying states for ultrasound technicians, and its median annual salary $80,500 is significantly higher than the national median.",10,4.0,top from debiased,debiased,5,,
806694,what is the average pay scale in massachusetts for a sonographer,msmarco_passage_28_60089811,"A: Diagnostic medical sonographers employed in California earned an average salary of $100,960 in 2019. Average Diagnostic Medical Sonographer Pay vs. Other Best Jobs. Diagnostic Medical Sonographers earned an average salary of $75,780 in 2019.",15,5.0,top from debiased,debiased,6,,
806694,what is the average pay scale in massachusetts for a sonographer,msmarco_passage_28_60089520,"A: In 2019, diagnostic medical sonographers earned an average salary of $36.44 per hour. Q: What is the salary for a diagnostic medical sonographer in California?",7,7.0,top from debiased,debiased,7,,
806694,what is the average pay scale in massachusetts for a sonographer,msmarco_passage_10_438410610,"The salary for new or inexperienced Diagnostic Medical Sonographers in Portland is $85,950. The salary is higher than the national average of $71,750. However, the highest pay ultrasound technologists earn in Portland in May 2016 was $103,890, whereas the national salary for the top end of the scale was $99,100.",20,8.0,top from debiased,debiased,8,,
806694,what is the average pay scale in massachusetts for a sonographer,msmarco_passage_06_23250072,"Fig. 3. Amplitude is an important parameter and is concerned with the strength of the ultrasound beam. It is defined as the difference between the peak value and the average value of the waveform. It is expressed in decibels or dB, which is a logarithmic scale. It can be changed by a sonographer.",85,,easy negative,debiased,9,0.23288099765777587,
818583,what is the difference between the range rover and the range rover sport,msmarco_passage_38_498013421,"What’s the difference between a Range Rover Sport and a Range Rover? The Sport is a midsize luxury SUV with the option of three seating rows. The Range Rover is a full-size luxury SUV with seating for five or, if the client wanted, a 4-seater arrangement.",1,1.0,top from biased,biased,1,,
818583,what is the difference between the range rover and the range rover sport,msmarco_passage_14_602333503,"Range Rover Sport vs. Range Rover. There are two major differences between the Range Rover and Range Rover Sport. The first is seating space. The Range Rover is offered in five- and four-seat configurations only, while the Range Rover Sport is available in five- and seven-seat layouts. The second is price.",2,2.0,top from biased,biased,2,,
818583,what is the difference between the range rover and the range rover sport,msmarco_passage_14_602257483,"Land Rover Range Rover vs. Range Rover Sport. The Range Rover Sport has a lot in common with the larger Range Rover, from its styling and engine options to its driving dynamics and convenience features. There are two key differences though: price and seating accommodations.",3,3.0,top from biased,biased,3,,
818583,what is the difference between the range rover and the range rover sport,msmarco_passage_38_494079979,"The full-size Range Rover also retains its pop-up circular gear selector knob, while the Sport uses a more traditional gear lever. In back, there’s an even bigger difference between the Range Rover and the Sport: the number of seats. While the all-new 2014 Range Rover Sport now offers available 3-row seating, the Range Rover still only offers two rows.",4,5.0,top from biased,biased,4,,
818583,what is the difference between the range rover and the range rover sport,msmarco_passage_38_492156110,The Land Rover Range Rover has long been a standard-bearer in luxury utility vehicles and that reputation holds up in 2020. One of the biggest differences between the Range Rover and the Range Rover Sport is that the Sport model has an available third row of seats and the standard Range Rover does not.,5,4.0,top from debiased,debiased,5,,
818583,what is the difference between the range rover and the range rover sport,msmarco_passage_44_757711640,"Land Rover Range Rover Sport vs. Land Rover Range Rover Velar. While the Range Rover Sport is a midsize SUV with seating for up to seven, the Land Rover Range Rover Velar is a two-row that splits the difference between the compact and midsize segments. As such, it's quite a bit less expensive than the Sport, and it offers more fuel-efficient engines.",6,6.0,top from debiased,debiased,6,,
818583,what is the difference between the range rover and the range rover sport,msmarco_passage_44_757676816,"Land Rover Range Rover Sport vs. Land Rover Range Rover Velar. While the Range Rover Sport is a midsize SUV with seating for up to seven, the Land Rover Range Rover Velar is a two-row that splits the difference between the compact and midsize segments.",7,7.0,top from debiased,debiased,7,,
818583,what is the difference between the range rover and the range rover sport,msmarco_passage_38_494078439,"Exterior. Although the Range Rover and the Range Rover Sport might seem similar at first glance, there are definite differences between the two. Parked side-by-side, there’s almost no confusing them, as the full-size Range Rover is significantly larger than its Sport stablemate.",9,8.0,top from debiased,debiased,8,,
818583,what is the difference between the range rover and the range rover sport,msmarco_passage_65_26623790,2021 Land Rover Models. 2021 Land Rover Defender Prices 2021 Land Rover Discovery Prices 2021 Land Rover Discovery Sport Prices 2021 Land Rover Range Rover Prices 2021 Land Rover Range Rover Evoque Prices 2021 Land Rover Range Rover Sport Prices 2021 Land Rover Range Rover Velar Prices.,91,,easy negative,debiased,9,0.39380183815956116,
832573,what is the methylmalon a c test,msmarco_passage_24_205403578,"Establishing the specific subtype of methylmalonic acidemia requires cellular biochemical studies (including C 14 propionate incorporation and B12 responsiveness, complementation analysis, and cobalamin distribution assays) and molecular genetic testing.",1,1.0,top from biased,biased,1,,
832573,what is the methylmalon a c test,msmarco_passage_48_735882301,"What is the purpose of the test? Methylmalonic acid is a compound that reacts with vitamin B-12 to produce coenzyme A (CoA). Coenzyme A is essential to normal cellular function. When vitamin B-12 deficiencies occur, methylmalonic acid levels increase.",2,3.0,top from biased,biased,2,,
832573,what is the methylmalon a c test,msmarco_passage_36_760432315,"Those tests that provide the highest yield of abnormality are blood glucose, serum B 12 with metabolites (methylmalonic acid with or without homocysteine), and serum protein immunofixation electrophoresis (Level C).",3,6.0,top from biased,biased,3,,
832573,what is the methylmalon a c test,msmarco_passage_36_856824266,"Methylmalonate Test - More Information. The methylmalonic acid test, also known as a methylmalonic acid blood test, methylmalonate lab test and an MMA level test, measures the methylmalonic acid blood level.",4,2.0,top from biased,biased,4,,
832573,what is the methylmalon a c test,msmarco_passage_27_612382169,Methylmalonic acid blood test. The methylmalonic acid blood test measures the amount of methylmalonic acid in the blood.,8,4.0,top from debiased,debiased,5,,
832573,what is the methylmalon a c test,msmarco_passage_24_205385166,"Methylmalonic acid is a very sensitive test in indicating a B12 deficiency. It is more specific than homocysteine and is the confirmatory test of choice for a B12 deficiency. Occasionally, specialized methylmalonic acid testing may be ordered to help diagnose methylmalonic acidemia, a rare inherited metabolic disorder.",6,5.0,top from debiased,debiased,6,,
832573,what is the methylmalon a c test,msmarco_passage_24_205383441,Methylmalonic acid test. The methylmalonic acid blood test measures the amount of methylmalonic acid in the blood. The methylmalonic acid test may be used to help diagnose an early or mild vitamin B12 deficiency. It may be ordered by itself or along with a homocysteine test as a follow-up to a vitamin B12 test result that is in the lower end of the normal range.,5,7.0,top from debiased,debiased,7,,
832573,what is the methylmalon a c test,msmarco_passage_36_856824989,Methylmalonic Acid Test. The methylmalonic acid test measures the methylmalonic acid blood level. View Sample Results. $99. CHECKOUT.,13,8.0,top from debiased,debiased,8,,
832573,what is the methylmalon a c test,msmarco_passage_27_619016982,Additional Information & Resources. Expand Section. Genetic Testing Information. Genetic Testing Registry: Combined malonic and methylmalonic aciduria. Genetic and Rare Diseases Information Center. Combined malonic and methylmalonic aciduria. Patient Support and Advocacy Resources. Disease InfoSearch.,71,,easy negative,debiased,9,0.36994284987449644,
835760,what is the name of the triangular region at the base of the bladder,msmarco_passage_15_588172240,"The inferior portion of the bladder has a triangular-shaped area at the base of the bladder called the trigone (Greek tri – = “triangle” and the root of the word “trigonometry”). This area serves as a funnel, to allow complete drainage of the bladder into the urethra. Figure 3.",1,1.0,top from biased,biased,1,,
835760,what is the name of the triangular region at the base of the bladder,msmarco_passage_29_482632351,"There is a triangular area, called the trigone, formed by three openings in the floor of the urinary bladder. Two of the openings are from the ureters and form the base of the trigone.",2,2.0,top from biased,biased,2,,
835760,what is the name of the triangular region at the base of the bladder,msmarco_passage_04_156883639,What is The triangular area on the floor of the urinary bladder with an opening at each of its angles? - Answers. trigoneThe trigone is the name of the area of the bladder located between the openings of the ureters and urethra.trigoneThe trigone is a triangular region at the base of the bladder where the ureters enter ad the urethra exits.Trigonetripod?It's called the Trigone.,3,3.0,top from biased,biased,3,,
835760,what is the name of the triangular region at the base of the bladder,msmarco_passage_46_424085011,urinary bladder. Definition. hollow expandable fu that acts as a temp. reservoir for urine. has small folds called rugae that expand as the bladder fills. A triangular area at the base of the bladder called the trigone is delineated by the openings of the ureters and the urethra. Base of trigone forms the urethra.,4,6.0,top from biased,biased,4,,
835760,what is the name of the triangular region at the base of the bladder,msmarco_passage_12_833050844,"It has an outer adventitial layer and inner urothelial layer. The trigone, a triangular area, forms the base of the bladder. The three corners of the trigone correspond to the orifices of the ureters and the bladder neck (opening of the urethra) ( Figure 6-5 ).",7,4.0,top from debiased,debiased,5,,
835760,what is the name of the triangular region at the base of the bladder,msmarco_passage_22_465100299,"What is the triangular region on the posterior of the urinary bladder called? On the superior surface, the outer layer of the bladder wall is parietal peritoneum. There is a triangular area, called the trigone, formed by three openings in the floor of the urinary bladder.",6,5.0,top from debiased,debiased,6,,
835760,what is the name of the triangular region at the base of the bladder,msmarco_passage_08_318648522,"At the bottom of the bladder is a triangular-shaped region known as the trigone. Urine enters the bladder from the ureters at the uppermost aspect of the trigone, and leaves the bladder via the urethra at the lowermost aspect of the trigone.",9,7.0,top from debiased,debiased,7,,
835760,what is the name of the triangular region at the base of the bladder,msmarco_passage_08_787082193,"Anatomy of the Urinary Bladder. At the base of the bladder, a triangular structure called the 'trigone' is formed from the openings of the two ureters and the urethra. The opening of the urethra is surrounded by a band of detrusor muscle, forming an internal urethral sphincter.",8,8.0,top from debiased,debiased,8,,
835760,what is the name of the triangular region at the base of the bladder,msmarco_passage_63_806462725,"Overview. Java moss is known by a number of common names, including Christmas moss, dubious bladder moss, mini moss, Singapore moss, triangular moss, and willow moss. Scientific name: Taxiphyllum barbieri. Synonym: Vesicularia dubyana. Origin: South-east Asia.",81,,easy negative,debiased,9,0.11326442062854766,
845121,what is the sacraments of service in the catholic church,msmarco_passage_18_309798117,"Sacraments. Main article: Sacraments (Catholic Church) Sacraments in the Catholic Church are efficacious signs, perceptible to the senses, of grace. According to the Church's theology, they have been instituted by Christ and entrusted to the Church, and through them divine life is bestowed on us.",1,2.0,top from biased,biased,1,,
845121,what is the sacraments of service in the catholic church,msmarco_passage_52_246108062,"Seven Sacraments. There are seven sacraments which are practiced in the Catholic church. Three are about initiation into the church (baptism, confirmation, and communion), two are about healing (confession and anointing of the sick), and two are sacraments of service (marriage and holy orders).",2,1.0,top from biased,biased,2,,
845121,what is the sacraments of service in the catholic church,msmarco_passage_34_59598021,The 7 Sacraments of the Catholic Church: (1) the Sacraments of Christian Initiation. Baptism. Confirmation. Eucharist. (2) the Sacraments of Healing. Penance/Reconciliation. Anointing of the Sick. (3) the Sacraments at the Service of Communion (& the Mission of the Faithful),3,3.0,top from biased,biased,3,,
845121,what is the sacraments of service in the catholic church,msmarco_passage_01_649801203,"The Sacraments at the Service of Communion. The last group of sacraments are the Sacraments at the Service of Communion—Holy Orders and Matrimony. The Catechism of the Catholic Church states: Baptism, Confirmation, and Eucharist are sacraments of Christian initiation.",4,4.0,top from biased,biased,4,,
845121,what is the sacraments of service in the catholic church,msmarco_passage_06_611756102,"The Roman Catholic Church teaches there are seven sacraments: baptism, confirmation, holy communion, confession, marriage, holy orders, and the anointing of the sick. According to the Catholic Church, these sacraments “are efficacious signs of grace, instituted by Christ and entrusted to the Church, by which divine life is dispensed to us.",6,5.0,top from debiased,debiased,5,,
845121,what is the sacraments of service in the catholic church,msmarco_passage_61_674420170,"The 7 Sacraments. Religion The 7 Sacraments The Catechism of the Catholic Church lists the sacraments as follows: ""The whole liturgical life of the Church revolves around the Eucharistic sacrifice and the sacraments. There are seven sacraments in the Church: Baptism, Confirmation, Eucharist, Penance, Anointing of the Sick, Holy Orders, and Matrimony."".",10,6.0,top from debiased,debiased,6,,
845121,what is the sacraments of service in the catholic church,msmarco_passage_39_391065769,25 Jan. The Sacrament of Penance (or Sacrament of Reconciliation or Confession) is one of the seven sacraments in the Roman Catholic Church. Roman Catholic Church doctrine states that the Sacrament of Penance was instituted by the Lord Jesus Christ through his disciples in order to bring about spiritual healing for the wounded soul.,5,7.0,top from debiased,debiased,7,,
845121,what is the sacraments of service in the catholic church,msmarco_passage_34_450950632,"Various sacraments that are usually undertaken by majority of practicing Catholics, are of importance to many Catholics and are celebrated by the individual, the church and the extended community. The 7 Sacraments of the Catholic Church include: Baptism.",11,8.0,top from debiased,debiased,8,,
845121,what is the sacraments of service in the catholic church,msmarco_passage_04_588468824,"When giving, please be sure to specify Blessed Sacrament (Norfolk). Rev. Eric Ayers Letter to Parishioners. Blessed Sacrament Catholic Church Streaming Player | Powered by StreamSpot. click to donate to blessed sacrament (weshare) Register with the Parish. Join My Own Church. Blessed Sacrament Catholic Church now has a new system, called My Own Church, for updating your family information and to register with the parish!",87,,easy negative,debiased,9,0.42285347580909727,
935353,when and where did the battle of manassas take place,msmarco_passage_01_116824619,"The Second Battle of Manassas (or the Second Battle of Bull Run) was fought near Manassas on August 28–30, 1862. At that time, Manassas Junction was little more than a railroad crossing, but a strategic one, with rails leading to Richmond, Virginia, Washington, D.C., and the Shenandoah Valley. Despite these two Confederate victories, Manassas Junction was in Union hands for most of the war.",1,3.0,top from biased,biased,1,,
935353,when and where did the battle of manassas take place,msmarco_passage_45_272090219,"July 16, 1861. Union general Irvin McDowell begins his advance against Confederates guarding Manassas Junction. July 21, 1861. The First Battle of Manassas is fought near Manassas Junction in northern Virginia, where the Orange and Alexandria Railroad met the Manassas Gap Railroad.",2,1.0,top from biased,biased,2,,
935353,when and where did the battle of manassas take place,msmarco_passage_03_399019105,"First Battle of Bull Run. The first big land battle of the American Civil War took place near Manassas in Prince William County in Virginia on July 21, 1861. This episode is called the First Battle of Bull Run and is also known as First Manassas, the latter being the name the Confederates used. The battle came about as a result of a Union drive to try and take Richmond, Virginia, the capital of the Confederate states, as it was felt that taking the city would mean an early end to the uprising.",3,2.0,top from biased,biased,3,,
935353,when and where did the battle of manassas take place,msmarco_passage_27_782235490,"July 21, 1861. Battle of Bull Run. The Battle of Bull Run takes place near Manassas, Virginia. Confederate General Beauregard defeats the Union forces under General Irvin McDowell. Confederate General Thomas J. Jackson is nicknamed “Stonewall” for his firm stand at a crucial moment in the battle.",4,4.0,top from biased,biased,4,,
935353,when and where did the battle of manassas take place,msmarco_passage_17_642045950,"July–September. July 13 – American Civil War: The Battle of Corrick's Ford takes place in western Virginia. July 21 – American Civil War – First Battle of Bull Run aka First Manassas: At Manassas Junction, Virginia, the first major battle of the war ends in a Confederate victory.",5,5.0,top from debiased,debiased,5,,
935353,when and where did the battle of manassas take place,msmarco_passage_34_806832578,"May 21. The Confederacy names Richmond, Virginia as their Capital. Jul 21. First Battle of Bull Run (aka First Battle of Manassas by the Confederates); it was the first land battle of major proportions in the Civil War. The battle took place near the city of Manassas in Prince William County, Virginia.",7,6.0,top from debiased,debiased,6,,
935353,when and where did the battle of manassas take place,msmarco_passage_49_225979544,"Contents. Prelude to the First Battle of Bull Run (Manassas) Battle Begins at Bull Run. The “Rebel Yell” at Bull Run (Manassas) Who Won The Battle of Bull Run (Manassas)? The First Battle of Bull Run, also known as the Battle of Manassas, marked the first major land battle of the American Civil War. On July 21, 1861, Union and Confederate armies clashed near Manassas Junction, Virginia.",8,7.0,top from debiased,debiased,7,,
935353,when and where did the battle of manassas take place,msmarco_passage_04_128069419,"When and where was the bull run fought? The first battle of Bull Run was fought July 21, 1861 near
Manassas, Virginia. The union forces called it Bull Run and the
Confederate forces called it the battle of Manassas. The battle
ended with a union retreat that turned into a rout as confederate
forces counter attacked.",9,8.0,top from debiased,debiased,8,,
935353,when and where did the battle of manassas take place,msmarco_passage_04_208159441,"Still Have Questions? Find More Answers. Related Questions. Where did the battle of Berlin take place? The battle of Berlin took place in Berlin, Germany in early
1945...... ...",83,,easy negative,debiased,9,0.2817937254905701,
935964,when are whales most active for whale watching in massachusetts,msmarco_passage_54_800252753,"The best time for whale watching in Massachusetts is in the warmer months, typically from April to October, although whales have been spotted in waters around Massachusetts as early as mid-March and as late as early November.",1,1.0,top from biased,biased,1,,
935964,when are whales most active for whale watching in massachusetts,msmarco_passage_03_424881978,"Whale Watching Season. The best time for whale watching in Massachusetts is from April to October, though whales dwell in Bay State waters as early as mid-March and as late as early November. Whales migrate to Massachusetts to feed on mackerel, herring, krill and other schooling fish that breed in these nutrient-rich waters.",2,2.0,top from biased,biased,2,,
935964,when are whales most active for whale watching in massachusetts,msmarco_passage_67_44904878,"The Boston whale watching season runs from late March to mid-November. The best time for whale watching is between May and October. During these months, sightings are practically guaranteed. Each summer, the whales migrate to Massachusetts and back to warmer water when the weather gets colder again in October/November.",3,3.0,top from biased,biased,3,,
935964,when are whales most active for whale watching in massachusetts,msmarco_passage_35_61731466,"Maryellen Cicione, Leaf Group Updated March 22, 2018. Spring and summer are the best times for whale watching in Massachusetts. (Photo: whale's tail image by Xavier MARCHANT from Fotolia.com ) If you love marine life, consider whale watching off the coast of Massachusetts, which is known to have some of the best whale watching opportunities in the world.",4,7.0,top from biased,biased,4,,
935964,when are whales most active for whale watching in massachusetts,msmarco_passage_08_318054068,"Whale watching tour along the coast of Massachusetts. Whale watching is without a doubt, one of the best things to do in the northeast US when traveling between the months of April and October. There are dozens of places where you can enjoy a whale watching experience such as Portland ME, Portsmouth NH, Cape May NJ, Cape Cod Mass CT.",5,4.0,top from debiased,debiased,5,,
935964,when are whales most active for whale watching in massachusetts,msmarco_passage_31_370485379,"Whale-watching season. Whale-watching season in Massachusetts starts in April and runs into October. Some popular tours, such as whale-watching sunset cruises, are only available during the high season from June to August. Meanwhile, charter cruises are available from mid-March into November.",6,5.0,top from debiased,debiased,6,,
935964,when are whales most active for whale watching in massachusetts,msmarco_passage_35_61733187,"Whales feed off the coasts of Boston, the North Shore area and Cape Cod and the Islands during certain times of the year. Whale watch charters throughout coastal Massachusetts roll out opportunities to see whales breaching and spouting up close. With such a large whale population in Massachusetts waters, chances are high that visitors will spot several different types of species during popular whaling times.",8,6.0,top from debiased,debiased,7,,
935964,when are whales most active for whale watching in massachusetts,msmarco_passage_31_370489867,"Massachusetts. Massachusetts is a top whale-watching destination in the United States and the world. In just about 40 km (25 mi) off the coast, one can see pods of humpback, fin, sperm, and pilot whales. Sei, right and blue whales have been also spotted occasionally. Whales migrate to New England due to an abundance of mackerel, herring, and krill in its waters during warmer times.",9,8.0,top from debiased,debiased,8,,
935964,when are whales most active for whale watching in massachusetts,msmarco_passage_30_254823012,"California is the best whale watching destination in the United States, and it’s also the first: whale watching as an organized activity dates back to 1950 when the Cabrillo National Monument in San Diego was declared a public spot for the observation of Gray Whales.",86,,easy negative,debiased,9,0.41979377865791323,
952262,when is the best time to do a home pregnancy urine test,msmarco_passage_04_375241745,What about an at-home urine test? The best time to take an at-home pregnancy test is first thing in the morning and with your first morning urine. This is when the urine is most concentrated and has the highest level of the pregnancy hormone hCG.,1,1.0,top from biased,biased,1,,
952262,when is the best time to do a home pregnancy urine test,msmarco_passage_54_265700064,"Read the test instructions carefully before using the home pregnancy test kit all by yourself. The best time to take the pregnancy test is during the early morning. During the morning, the urine remains concentrated, and the presence of hCG is typically high.",2,2.0,top from biased,biased,2,,
952262,when is the best time to do a home pregnancy urine test,msmarco_passage_38_632156574,"The best time of day to take a home pregnancy test is first thing in the morning. The hCG in your urine will be more concentrated at that time. If you want to take the test later in the day, be sure to limit the liquids you drink before you use the pregnancy test. The pregnancy hormone will be more concentrated at this point.",3,3.0,top from biased,biased,3,,
952262,when is the best time to do a home pregnancy urine test,msmarco_passage_11_8858858,"It's best to do the home pregnancy test first thing in the morning, when your urine is most concentrated and hCG levels are highest. As a rule of thumb or if you have irregular periods, you should wait 3 weeks after sex to take a pregnancy test. However, if you are in a hurry, most tests will work after 2 weeks (approximately when your period is due).",4,4.0,top from biased,biased,4,,
952262,when is the best time to do a home pregnancy urine test,msmarco_passage_48_749209638,"This offers hCG levels sufficient time to rise high enough to register on the home pregnancy test. The time of the day. Remember, morning tends to be the best time to take home pregnancy tests, because hCG levels in urine are concentrated after a night without much drinking and peeing. If you’re still very early in your pregnancy and hCG levels are only starting to rise, it may be wise not to test at night.",6,5.0,top from debiased,debiased,5,,
952262,when is the best time to do a home pregnancy urine test,msmarco_passage_55_297870367,"Although most home pregnancy tests may be used any time, it is ideal to take it at early morning, when you first urinate, because urine is more concentrated and there is a better chance that a larger amount of hCG hormone is present. Sensitivity of pregnancy test.",8,6.0,top from debiased,debiased,6,,
952262,when is the best time to do a home pregnancy urine test,msmarco_passage_00_239612976,When is the Best Time to Take a Pregnancy Test? The best time to conduct the homemade pregnancy test is in the early morning. The homemade pregnancy test is carried out with the urine sample. It is recommended that you have to take the first urine to get the accurate results.,12,7.0,top from debiased,debiased,7,,
952262,when is the best time to do a home pregnancy urine test,msmarco_passage_08_61246098,"If you are doing a home pregnancy test, try to do it in the morning and this is when your urine is at its most concentrated. The following list of symptoms can help you to discover whether you should take a pregnancy test:",10,8.0,top from debiased,debiased,8,,
952262,when is the best time to do a home pregnancy urine test,msmarco_passage_25_812195261,What Is Evaporation Line on a Pregnancy Test? Pregnancy tests show evaporation lines due to evaporating urine in the pregnancy test window. There will be a very faint line on a home pregnancy test when the urine on it begins to dry up and vanish.,78,,easy negative,debiased,9,0.5080566823482513,
952284,when is the best time to fish with a crawfish color bait,msmarco_passage_30_313376847,"Best Time To Catch Crawfish. If we want to find the right time to catch fish, we must first identify the right season. Crawfish prefer hot water, so it is the best time to catch crawfish during the summer. April to October is the best time to catch crawfish, as it is the hot season.",1,1.0,top from biased,biased,1,,
952284,when is the best time to fish with a crawfish color bait,msmarco_passage_22_850847499,3 Best Seasons to Catch Bass Using Crawfish Baits. Written by Eric Matechak in Bass Fishing. Crawfish are an important food source for bass on most bodies of water and craw-patterns can be a great option to catch big bass. There are specific windows where craw baits will yield you the best results. What is the best time of year to fish with crawfish baits and lures for bass?,2,3.0,top from biased,biased,2,,
952284,when is the best time to fish with a crawfish color bait,msmarco_passage_32_132398653,"The Best Wiggle Wart Colors. As far as colors are concerned, you won’t need all 3 + colors offered by Storm. You need just a few to be covered for most fishing conditions. In the spring, it is important to have some sort of crawfish-red colored bait.",3,2.0,top from biased,biased,3,,
952284,when is the best time to fish with a crawfish color bait,msmarco_passage_11_288630511,"When to Make Lure Adjustments. In clear water, lighter, more translucent lure colors seem to. work best. Besides water clarity, time of year and preferred forage should also be considered in choosing lure color. For instance, crawfish are a main menu item on many Southern lakes in the pre-spawn, and unless the water is muddy, a crawfish-pattern crankbait like the customer top rated Rebel Crawfish bait or a brown/brown jig-and-pig emulate this natural prey.",4,4.0,top from biased,biased,4,,
952284,when is the best time to fish with a crawfish color bait,msmarco_passage_23_511390340,What Bait Colors to Use When Bass Fishing. Related. What Lures Do You Use With a Bait-caster? By Jeff Dickinson. The warm summer months are often the best time to fish for bass on lakes and rivers across the country. Bass become active at certain times during the day and when the right weather patterns are approaching.,9,5.0,top from debiased,debiased,5,,
952284,when is the best time to fish with a crawfish color bait,msmarco_passage_38_846139030,"In a world full of color it is still best to simplify as much as possible and both anglers agree that the standard arsenal consists of five basic color patterns, depending on the season and type of lake being fished. Primarily the colors used the most are brown/orange/red combinations resembling crawfish, chartreuse/blue combinations imitating bluegill, and baits resembling shad, a natural prey for bass, including chrome/black, chrome/blue, Tennessee shad and various pearl/white patterns.",13,6.0,top from debiased,debiased,6,,
952284,when is the best time to fish with a crawfish color bait,msmarco_passage_36_726687505,"Food Sources. Be aware of the primary food source of the fish. The more you know about the bait, the more likely you are to properly imitate the food source. Knowing what time of year the crawfish have hard red shells versus soft green shells may help you choose lures and colors for the day.",5,7.0,top from debiased,debiased,7,,
952284,when is the best time to fish with a crawfish color bait,msmarco_passage_53_700312764,Since the water is clear most of the year smaller natural baits work best. Fish get a better look at the bait when the water is clear so you want it to look as natural as possible. Live bait works best along with plastic worms. Shad colored crank baits and crawfish lures will draw bites when fished in the right manner.,12,8.0,top from debiased,debiased,8,,
952284,when is the best time to fish with a crawfish color bait,msmarco_passage_06_204447363,"A Basic Recreational Fishing License or a Wild Louisiana Stamp is required to use crawfish nets, dip nets, hand lines, or bait seines on LDWF WMAs or refuges. A Basic Recreational Fishing License or a gear license is not required to use crawfish nets, dip nets, hand lines, or bait seines for taking crawfish recreationally.",92,,easy negative,debiased,9,0.3619385898113251,
975079,where does the welsh language originate from,msmarco_passage_34_122507568,"Welsh originates from the Celtic language spoken by the ancient Britons. Before the Roman invasion Celtic languages were spoken across Europe as far as Turkey. Celtic language came to Britain around 600BC, with one version evolving into Brythonic which formed the basis of Welsh, Cornish and Breton. When the Anglo-Saxons colonised Britain, Brythonic speakers were split up into those in northern England speaking Cumbric, those in the south-west speaking an early version of Cornish, and those speaking primitive Welsh.",1,1.0,top from biased,biased,1,,
975079,where does the welsh language originate from,msmarco_passage_68_160730821,The Welsh people are a nation and an ethnic group native to Wales. The Welsh language belongs to the Insular Celtic family and has historically been spoken mostly in Wales. The origin of the Welsh nation can be traced to the late 4th and early 5th century after the departure of the Romans. Welsh people refer to the people from Wales and also the people of Welsh ancestry who are perceived to be sharing cultural heritage and ancestral origin.,2,2.0,top from biased,biased,2,,
975079,where does the welsh language originate from,msmarco_passage_19_577300446,"Main articles: Welsh English and Welsh language. Further information: Languages of Wales. Bilingual road markings near Cardiff Airport, Vale of Glamorgan. Welsh (Cymraeg) emerged in the 6th century from Brittonic, the common ancestor of Welsh, Breton, Cornish, and the extinct language known as Cumbric.",3,5.0,top from biased,biased,3,,
975079,where does the welsh language originate from,msmarco_passage_04_428426158,"The history of the Welsh language. Welsh (Cymraeg) is the oldest language in Britain dating back possibly 4,000 years. The majority of European languages, including Welsh, evolved from a language now called Indo-European, which developed into nine different language groups, one of which was Celtic. In turn, Celtic developed its own family of languages.",4,3.0,top from biased,biased,4,,
975079,where does the welsh language originate from,msmarco_passage_39_7640982,"The Welsh today are descended from many people. Celtic tribes from Europe came to settle the whole of the British isles around 500-100 BC, alongside the original Iron Age population. It was their language which sowed the seeds of the modern Welsh language.",5,4.0,top from debiased,debiased,5,,
975079,where does the welsh language originate from,msmarco_passage_58_259083082,"Modern Celtic languages all originate from Britain and Ireland: Irish, Scottish Gaelic, Welsh, Breton (spoken in Brittany, where it was brought by immigrants from SW England in the 6th century or so), and Cornish and Manx, which are extinct (and are being revived now).",6,6.0,top from debiased,debiased,6,,
975079,where does the welsh language originate from,msmarco_passage_06_135432401,"This article contains interesting facts, statistics and the history of Welsh Immigration to America. To understand the reason for Welsh immigration it helps to have an overview of the history of the people of Wales. The Welsh people originated from the Picts and the Celtic race, strongly adhering to the Celtic culture and speaking Gaelic, one of the languages of the Celts.",7,7.0,top from debiased,debiased,7,,
975079,where does the welsh language originate from,msmarco_passage_18_508298739,"However, Welsh identity remained strong, and recently there has been an increasing awareness and acknowledgement of Wales' cultural and historical separateness from England, which is reflected politically . The Welsh language is in the Celtic language group, whereas English is in the West Germanic group; consequently the English language is further from the Welsh language in both vocabulary and grammar than from a number of European languages, such as Dutch, for example.",9,8.0,top from debiased,debiased,8,,
975079,where does the welsh language originate from,msmarco_passage_12_263358866,"Where does the season ""Spring"" get it's name? What is the origin of the season name for spring and does spring the action have anything to do with spring the season, where did they come from if not the same language/original meaning?",91,,easy negative,debiased,9,0.19078224003314972,
1006728,which cerebral lobe of the brain is involved in our ability to see,msmarco_passage_66_84491897,Occipital Lobe Damage. The occipital lobes of the brain are mainly involved in processing information from the eyes. The ability to see objects is achieved by the eyes but the ability to make sense of what we see is the job of the occipital lobe.,1,1.0,top from biased,biased,1,,
